cc,http,https
ae.csv,312,411
af.csv,53,13
al.csv,0,4
am.csv,117,149
ao.csv,10,9
ar.csv,214,59
at.csv,2,3
au.csv,0,4
az.csv,30,73
ba.csv,0,5
bd.csv,257,23
be.csv,0,7
bg.csv,0,4
bh.csv,275,369
bi.csv,58,384
bo.csv,115,422
br.csv,939,73
by.csv,142,195
ca.csv,30,10
cd.csv,33,48
ch.csv,67,5
ci.csv,5,17
cl.csv,152,22
cm.csv,64,88
cn.csv,173,402
co.csv,75,372
cr.csv,0,3
cu.csv,89,219
cy.csv,1,0
cz.csv,105,56
de.csv,2,25
dk.csv,0,6
do.csv,0,3
dz.csv,142,317
ec.csv,77,447
ee.csv,0,6
eg.csv,310,566
er.csv,45,40
es.csv,35,13
et.csv,68,130
fi.csv,0,5
fj.csv,1,0
fr.csv,7,8
ga.csv,36,15
gb.csv,0,3
ge.csv,81,23
gh.csv,245,9
gm.csv,21,12
gr.csv,24,22
gt.csv,157,7
gy.csv,45,0
hk.csv,171,437
hn.csv,0,6
hr.csv,0,5
hu.csv,66,478
id.csv,139,519
ie.csv,0,5
il.csv,7,55
in.csv,171,550
iq.csv,218,412
ir.csv,296,501
is.csv,0,5
it.csv,261,5
jo.csv,253,302
jp.csv,2,6
ke.csv,112,37
kg.csv,92,18
kh.csv,55,59
kr.csv,517,26
kw.csv,516,50
kz.csv,168,278
lb.csv,209,440
lk.csv,34,20
ls.csv,6,3
lt.csv,15,7
lv.csv,0,5
ly.csv,151,1
ma.csv,218,397
md.csv,269,8
mk.csv,0,7
ml.csv,99,41
mm.csv,324,504
mn.csv,51,4
mr.csv,346,3
mx.csv,65,173
my.csv,145,351
mz.csv,2,0
nf.csv,1,0
ng.csv,161,132
ni.csv,102,368
nl.csv,0,4
no.csv,0,6
np.csv,43,4
nz.csv,0,2
om.csv,111,5
pa.csv,0,2
pe.csv,153,4
ph.csv,121,255
pk.csv,251,372
pl.csv,37,498
pr.csv,0,3
ps.csv,146,402
pt.csv,1,30
py.csv,49,51
qa.csv,149,415
ro.csv,0,4
rs.csv,0,6
ru.csv,228,474
rw.csv,14,11
sa.csv,281,394
sd.csv,269,380
se.csv,0,4
sg.csv,30,344
si.csv,0,5
sk.csv,0,4
sl.csv,65,31
sn.csv,59,63
so.csv,400,43
ss.csv,66,48
sv.csv,0,5
sy.csv,266,261
td.csv,27,10
tg.csv,13,31
th.csv,146,299
tj.csv,12,6
tl.csv,2,0
tm.csv,172,205
tn.csv,310,357
tr.csv,128,169
tw.csv,262,110
tz.csv,142,82
ua.csv,882,145
ug.csv,182,85
us.csv,5,54
uy.csv,35,20
uz.csv,144,183
ve.csv,203,350
vn.csv,110,324
ye.csv,477,478
za.csv,10,12
zm.csv,61,24
zw.csv,129,263
